Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
carter-de-aceite-importado-corsa-astra-zafira-fun;Carter De Aceite Importado Corsa/astra/zafira/fun;;;;;;;;51016.1;;0.00;0.00;0.00;0.00;1;C10360111I;;SI;NO;;;;;Auto;SI;;;;
bomba-embrague-zafira;Bomba Embrague Zafira;;;;;;;;120677.47;;0.00;0.00;0.00;0.00;1;93304911;;SI;NO;;;;;Auto;SI;;;;
rotula-suspension-superior-nakata-11933-hilux-sw-05;Rotula Suspension Superior Nakata 11933 Hilux-sw 05/;;;;;;;;57777.93;;0.00;0.00;0.00;0.00;1;T4073662-N;;SI;NO;;;;;Auto;SI;;;;
cilindro-freno-trasero-3-4-aveo;Cilindro Freno Trasero 3/4 Aveo;;;;;;;;21375.63;;0.00;0.00;0.00;0.00;1;C61105143-;;SI;NO;;;;;Auto;SI;;;;
bobina-encendido-06-1420-corsa-8v-16v-99;Bobina Encendido 06-1420 Corsa 8v/16v 99/;;;;;;;;103,500,000.00;;0.00;0.00;0.00;0.00;1;c9051156-K;;SI;NO;;;;;Auto;SI;;;;
rotula-suspension-skf-vkds6372a-agile-09;Rotula Suspension Skf-vkds6372a Agile 09/;;;;;;;;30681.39;;0.00;0.00;0.00;0.00;1;C40736534S;;SI;NO;;;;;Auto;SI;;;;
goma-tapa-deposito-d-h-cobalt-sonic-spin-prisma-on;Goma Tapa Deposito D/h Cobalt/sonic/spin/prisma/on;;;;;;;;28615.18;;0.00;0.00;0.00;0.00;1;95218391;;SI;NO;;;;;Auto;SI;;;;
cano-cuerpo-mariposa-a-termostato-cruze-tracker;Caño Cuerpo Mariposa A Termostato Cruze/tracker;;;;;;;;15734.46;;0.00;0.00;0.00;0.00;1;C12106324P;;SI;NO;;;;;Auto;SI;;;;
cable-comando-cambio-4285-jgo-classic-2015;Cable Comando Cambio 4285 (jgo) Classic 2015/..;;;;;;;;107151.67;;0.00;0.00;0.00;0.00;1;C7112659-F;;SI;NO;;;;;Auto;SI;;;;
filtro-aire-s10-blaz-2-8-mwm;Filtro Aire S10/blaz 2.8 Mwm;;;;;;;;26911;;0.00;0.00;0.00;0.00;1;C12962038O;;SI;NO;;;;;Auto;SI;;;;
termostato-imp-sonic-traker-cruze-ast;Termostato Imp. Sonic/traker/cruze/ast;;;;;;;;40329.3;;0.00;0.00;0.00;0.00;1;C12111335I;;SI;NO;;;;;Auto;SI;;;;
sop-motor-derecho-adap-onix-spin-cobalt;Sop.motor Derecho Adap. Onix Spin Cobalt;;;;;;;;113722.96;;0.00;0.00;0.00;0.00;1;40089;;SI;NO;;;;;Auto;SI;;;;
reten-bancada-s10-astra-vectra-1-8-2-0;Reten Bancada S10/astra/vectra 1.8/2.0;;;;;;;;19065.92;;0.00;0.00;0.00;0.00;1;C1030517-C;;SI;NO;;;;;Auto;SI;;;;
correa-elastica-hutchinson-volkswagen-6sk1200;Correa Elastica Hutchinson Volkswagen 6sk1200;;;;;;;;39900.92;;0.00;0.00;0.00;0.00;1;6SK1200;;SI;NO;;;;;Auto;SI;;;;
