Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
bomba-aceite-6325-corsa-1-6-1-4;Bomba De Aceite Indisa Para Chevrolet Corsa 1.4 - 1.6 8v;Chevrolet > Motor, Motor;;;;;;;36441.48;;3.5;7;30;30;1;25129;;SI;NO;;;;;Nakata;SI;;;;
amortiguador-delantero-chevrolet-corsa-classic-fun;Amortiguador Delantero Chevrolet Corsa Classic Fun;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;3.44;63;19;19;18;2640427A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-chevrolet-corsa;Amortiguador Delantero Chevrolet Corsa;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;1.72;63;19;19;18;2640427A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-chevrolet-agile;Amortiguador Delantero Chevrolet Agile;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;95366.32;;1.72;63;19;19;12;2640421A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-agile;Amortiguador Trasero Chevrolet Agile;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;57042.93;;1.44;66;7;7;18;2640422A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-fun-corsa-sw;Amortiguador Trasero Chevrolet Fun Corsa Sw;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;43947.63;;1.44;66;7;7;14;2640428A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-chevrolet-s10-4x2;Amortiguador Delantero Chevrolet S10 4x2;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;51212.41;;1.72;63;19;19;4;2640463A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-chevrolet-s10-desde-2012;Amortiguador Delantero Chevrolet S10 Desde 2012;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;85577.49;;1.72;63;19;19;3;2641212A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-volkswagen-gol-gol-country;Amortiguador Delantero Volkswagen Gol Gol Country;Volkswagen > Suspensión y Dirección, Suspensión y Dirección;;;;;;;39575.61;;1.72;63;19;19;4;2640459A;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-delanteros-chevrolet-fun-corsa-sw;Juego Amortiguadores Delanteros Chevrolet Fun Corsa Sw;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;110013.82;;3.44;63;38;19;1;2640427A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-delanteros-chevrolet-corsa;Juego Amortiguadores Delanteros Chevrolet Corsa;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;110013.82;;3.44;63;38;19;1;2640427A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-delanteros-chevrolet-s10-4x2;Juego Amortiguadores Delanteros Chevrolet S10 4x2;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;99656.58;;3.44;38;63;19;1;2640463A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-delanteros-chevrolet-agile;Juego Amortiguadores Delanteros Chevrolet Agile;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;180422.76;;3.44;63;38;19;1;2640421A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-delanteros-chevrolet-s10;Juego Amortiguadores Delanteros Chevrolet S10;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;161903.36;;3.44;63;38;19;1;2641212A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-delanteros-vw-gol-y-gol-country;Juego Amortiguadores Delanteros Vw Gol Y Gol Country;Volkswagen > Suspensión y Dirección, Suspensión y Dirección;;;;;;;77011.99;;3.44;63;19;19;1;2640459A X2;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-derecho-chevrolet-sonic;Amortiguador Delantero Derecho Chevrolet Sonic;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;102945.89;;1.72;63;19;19;9;2641203A;;SI;NO;;;;;ACDelco;SI;;;;
